item_id,price
2,4.45
3,6.50
4,12.95
5,10.99
6,10.95
7,8.90
8,12.95
9,14.99
10,12.99
11,14.85
12,16.99
13,13.00
14,14.95
15,16.99
16,17.85
17,25.99
18,23.99
19,19.99
20,22.95
21,18.99
22,15.99
23,4.95
24,4.99
25,3.50
26,3.90
27,4.99
28,5.99
29,5.99
30,7.85
31,3.85
32,3.85
33,4.99
34,4.99
35,4.50
36,4.50
37,5.20
38,5.90
39,4.85
40,4.85
41,5.50
42,6.20
43,5.99
44,5.99
45,7.85
46,8.99
47,5.50
48,5.50
49,6.50
50,7.60
51,5.99
52,5.99
53,6.99
54,7.99
55,5.80
56,5.80
57,6.99
58,8.99
59,6.20
60,6.20
61,7.90
62,8.99
63,7.99
64,10.50
65,7.95
66,7.50
67,8.90
68,10.99
69,11.99
70,7.95
71,4.70
72,2.50
73,5.85
74,2.80
75,3.50
76,9.95
77,14.99
78,12.50
79,17.95
80,12.50
81,19.99
82,16.95
